url,name,born,died,alma_mater,education,influences,notable_ideas,contributions,doctoral_advisors,doctoral_students,image_url
https://en.wikipedia.org/wiki/Main_Page,Main Page,,,[],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Montek_Singh_Ahluwalia,Montek Singh Ahluwalia,1943-11-24,,"['University of Delhi', 'B.A.', 'University of Oxford', 'M.A.', 'M.Phil.']",[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Philippe_Aghion,Philippe Aghion,1956-08-17,,"['Harvard University', 'École Normale Supérieure de Cachan', 'University of Paris 1 Panthéon-Sorbonne']",[],[],[],[],"['Eric Maskin', 'Andreu Mas-Colell', 'Jerry R. Green']",[],https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/The_State_of_France_%2821635813655%29.jpg/220px-The_State_of_France_%2821635813655%29.jpg
https://en.wikipedia.org/wiki/Sidney_S._Alexander,Sidney S. Alexander,,,[],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Alberto_Alesina,Alberto Alesina,1957-04-29,(2020-05-23),"['Harvard University', 'PhD', 'Bocconi University', 'Laurea']","['Bocconi University', 'Harvard University']",[],[],[],"['Jeffrey Sachs', '1']","['Silvana Tenreyro', '2']",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Alberto_Alesina_%282013%29.jpg/220px-Alberto_Alesina_%282013%29.jpg
https://en.wikipedia.org/wiki/George_Akerlof,George Akerlof,1940-06-17,,[],"['Yale University', 'BA', 'Massachusetts Institute of Technology', 'PhD']",['John Maynard Keynes'],[],"['Information asymmetry', 'Efficiency wages']","['Robert Solow', '1']","['Charles Engel', 'Adriana Kugler']",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/George_Akerlof_%28cropped%29.jpg/220px-George_Akerlof_%28cropped%29.jpg
https://en.wikipedia.org/wiki/Nobel_Prize_in_Economics,Nobel Memorial Prize in Economic Sciences,,,[],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Sadie_Alexander,Sadie T. M. Alexander,1898-01-02,(1989-11-01),[],"['University of Pennsylvania', 'AB', 'AM', 'PhD', 'LLB']",[],[],[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Sadalex2.jpg/220px-Sadalex2.jpg
https://en.wikipedia.org/wiki/Qazi_Kholiquzzaman_Ahmad,Qazi Kholiquzzaman Ahmad,1943,,"['University of Dhaka', 'London School of Economics']",[],[],[],[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Qazi_Kholiquzzaman_Ahmad.jpg/220px-Qazi_Kholiquzzaman_Ahmad.jpg
https://en.wikipedia.org/wiki/Armen_Alchian,Armen A. Alchian,1914-04-12,(2013-02-19),[],"['Stanford University', 'BA', 'PhD']","['Adam Smith', '6', 'Ludwig von Mises', 'Friedrich Hayek']",[],[],[],"['William F. Sharpe', '2', 'David R. Henderson', '3', 'Steven N. S. Cheung', '4', 'Jerry Jordan', '5']",https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Armen_Alchian.jpg/200px-Armen_Alchian.jpg
